,inf,per1,per3,pred,right,equals
21804,выпарывать,выпарываю,выпарывает,1,1,True
21805,отсоединиться,отсоединюсь,отсоединится,4,4,True
21806,насалить,насалю,насалит,4,4,True
21807,сечь,секу,сечёт,8к,8к,True
21808,извинить,извиню,извинит,4,4,True
21809,вкоренять,вкореняю,вкореняет,1,1,True
21810,оголяться,оголяюсь,оголяется,1,1,True
21811,расширять,расширяю,расширяет,1,1,True
21812,подмочиться,подмочусь,подмочится,4,4,True
21813,вредить,врежу,вредит,4,4,True
21814,сбирать,сбираю,сбирает,1,1,True
21815,отхватывать,отхватываю,отхватывает,1,1,True
21816,изгладить,изглажу,изгладит,4,4,True
21817,напариться,напарюсь,напарится,4,4,True
21818,вымучивать,вымучиваю,вымучивает,1,1,True
21819,аккумулироваться,аккумулируюсь,аккумулируется,2,2,True
21820,задеваться,задеваюсь,задевается,1,1,True
21821,накорчевать,накорчую,накорчует,2,2,True
21822,смеркаться,,,6,1,False
21823,вдавиться,вдавлюсь,вдавится,4,4,True
21824,изображаться,изображаюсь,изображается,1,1,True
21825,назвать,назову,назовёт,6,6,True
21826,насвистывать,насвистываю,насвистывает,1,1,True
21827,погребать,погребаю,погребает,1,1,True
21828,стричь,стригу,стрижёт,8г,8г,True
21829,обвевать,обвеваю,обвевает,1,1,True
21830,разронять,разроняю,разроняет,1,1,True
21831,начудить,начужу,начудит,4,4,True
21832,выжинать,выжинаю,выжинает,1,1,True
21833,масштабироваться,масштабироваюсь,масштабировается,1,2,False
21834,оттаптывать,оттаптываю,оттаптывает,1,1,True
21835,засаднить,засадню,засаднит,4,4,True
21836,перегребать,перегребаю,перегребает,1,1,True
21837,доплясаться,допляшусь,допляшется,6,6,True
21838,разведываться,разведываюсь,разведывается,1,1,True
21839,отгадывать,отгадываю,отгадывает,1,1,True
21840,пролиновать,пролиную,пролинует,2,2,True
21841,перелистать,перелистаю,перелистает,1,1,True
21842,вылощить,вылощу,вылощит,4,4,True
21843,повертеться,поверчусь,повертится,5,5,True
21844,выискивать,выискиваю,выискивает,1,1,True
21845,вещать,вещаю,вещает,1,1,True
21846,взирать,взираю,взирает,1,1,True
21847,расклеивать,расклеиваю,расклеивает,1,1,True
21848,коррелировать,коррелирую,коррелирует,2,2,True
21849,открепляться,открепляюсь,открепляется,1,1,True
21850,перетушить,перетушу,перетушит,4,4,True
21851,изукрашивать,изукрашиваю,изукрашивает,1,1,True
21852,утрамбовывать,утрамбовываю,утрамбовывает,1,1,True
21853,наклевать,наклюю,наклюёт,2,2,True
21854,разнайтовливать,разнайтовливаю,разнайтовливает,1,1,True
21855,зомбировать,зомбирую,зомбирует,2,2,True
21856,отворотить,отворочу,отворотит,4,4,True
21857,перегоняться,перегоняюсь,перегоняется,1,1,True
21858,вышутить,вышучу,вышутит,4,4,True
21859,разуважить,разуважу,разуважит,4,4,True
21860,хвастнуть,хвастну,хвастнёт,3,3,True
21861,оттяпывать,оттяпываю,оттяпывает,1,1,True
21862,таланиться,,,4,4,True
21863,дожирать,дожираю,дожирает,1,1,True
21864,обшныривать,обшныриваю,обшныривает,1,1,True
21865,верить,верю,верит,4,4,True
21866,шелохнуть,шелохну,шелохнёт,3,3,True
21867,принижать,принижаю,принижает,1,1,True
21868,влетать,влетаю,влетает,1,1,True
21869,забрюхатеть,забрюхатею,забрюхатеет,1,1,True
21870,зачислять,зачисляю,зачисляет,1,1,True
21871,прирабатываться,прирабатываюсь,прирабатывается,1,1,True
21872,ковырнуться,ковырнусь,ковырнётся,3,3,True
21873,рассевать,рассеваю,рассевает,1,1,True
21874,облесить,облесим,облесит,4,4,True
21875,полупить,полуплю,полупит,4,4,True
21876,напудриться,напудрюсь,напудрится,4,4,True
21877,донашивать,донашиваю,донашивает,1,1,True
21878,обучать,обучаю,обучает,1,1,True
21879,возлить,возолью,возольёт,11,11,True
21880,пробредить,пробрежу,пробредит,4,4,True
21881,завязать,завязаю,завязает,1,1,True
21882,проказничать,проказничаю,проказничает,1,1,True
21883,ловить,ловлю,ловит,4,4,True
21884,отщебетать,отщебечу,отщебечет,6,6,True
21885,бойкотировать,бойкотирую,бойкотирует,2,2,True
21886,подмотать,подмотаю,подмотает,1,1,True
21887,растягивать,растягиваю,растягивает,1,1,True
21888,холодеть,холодею,холодеет,1,1,True
21889,переналадить,переналажу,переналадит,4,4,True
21890,приживаться,приживаюсь,приживается,1,1,True
21891,повечереть,,,1,1,True
21892,повымерзнуть,повымерзну,повымерзнет,3,3,True
21893,слинковывать,слинковываю,слинковывает,1,1,True
21894,побледнеть,побледнею,побледнеет,1,1,True
21895,обсуждать,обсуждаю,обсуждает,1,1,True
21896,опрокидывать,опрокидываю,опрокидывает,1,1,True
21897,закосить,закошу,закосит,4,4,True
21898,раскружить,раскружу,раскружит,4,4,True
21899,недотянуть,недотяну,недотянет,3,3,True
21900,помазаться,помажусь,помажется,6,6,True
21901,запятнать,запятнаю,запятнает,1,1,True
21902,поразвлечься,поразвлекусь,поразвлечётся,8к,8к,True
21903,остерегаться,остерегаюсь,остерегается,1,1,True
21904,мерещиться,мерещусь,мерещится,4,4,True
21905,насудачить,насудачу,насудачит,4,4,True
21906,привлечь,привлеку,привлечёт,8к,8к,True
21907,увещевать,увещеваю,увещевает,1,1,True
21908,перечислять,перечисляю,перечисляет,1,1,True
21909,нафабриваться,нафабриваюсь,нафабривается,1,1,True
21910,перекутывать,перекутываю,перекутывает,1,1,True
21911,развенчать,развенчаю,развенчает,1,1,True
21912,набираться,набираюсь,набирается,1,1,True
21913,перечеканивать,перечеканиваю,перечеканивает,1,1,True
21914,напухнуть,напухну,напухнет,3,3,True
21915,владычествовать,владычествую,владычествует,2,2,True
21916,погрохатывать,погрохатываю,погрохатывает,1,1,True
21917,иструхлявиться,иструхлявлюсь,иструхлявится,4,4,True
21918,заворошить,заворошу,заворошит,4,4,True
21919,надстругать,надстругаю,надстругает,1,1,True
21920,заклеймить,заклеймлю,заклеймит,4,4,True
21921,взодраться,вздерусь,вздерётся,6,6,True
21922,возмутить,возмущу,возмутит,4щ,4щ,True
21923,насмешить,насмешу,насмешит,4,4,True
21924,замахать,замахаю,замахает,1,6,False
21925,холмиться,холмлюсь,холмится,4,4,True
21926,притащить,притащу,притащит,4,4,True
21927,углубить,углублю,углубит,4,4,True
21928,мурыжить,мурыжу,мурыжит,4,4,True
21929,убрести,убреду,убредёт,7д,7д,True
21930,набрасывать,набрасываю,набрасывает,1,1,True
21931,перебрызнуть,перебрызну,перебрызнет,3,3,True
21932,разродиться,разрожусь,разродится,4,4,True
21933,табанить,табаню,табанит,4,4,True
21934,повластвовать,повластвую,повластвует,2,2,True
21935,угасать,угасаю,угасает,1,1,True
21936,погружаться,погружаюсь,погружается,1,1,True
21937,славиться,славлюсь,славится,4,4,True
21938,тушевать,тушую,тушует,2,2,True
21939,прокручиваться,прокручиваюсь,прокручивается,1,1,True
21940,перекарабкаться,перекарабкаюсь,перекарабкается,1,1,True
21941,обесточивать,обесточиваю,обесточивает,1,1,True
21942,спекульнуть,спекульну,спекульнёт,3,3,True
21943,распрягать,распрягаю,распрягает,1,1,True
21944,вставать,встаю,встаёт,13,13,True
21945,нарекать,нарекаю,нарекает,1,1,True
21946,размыкать,размыкаю,размыкает,1,1,True
21947,одумываться,одумываюсь,одумывается,1,1,True
21948,линять,линяю,линяет,1,1,True
21949,отпутываться,отпутываюсь,отпутывается,1,1,True
21950,пережариться,пережарюсь,пережарится,4,4,True
21951,впасть,впаду,впадёт,7д,7д,True
21952,отторговывать,отторговываю,отторговывает,1,1,True
21953,закутываться,закутываюсь,закутывается,1,1,True
21954,катить,качу,катит,4,4,True
21955,сминать,сминаю,сминает,1,1,True
21956,обкорнать,обкорнаю,обкорнает,1,1,True
21957,примирять,примиряю,примиряет,1,1,True
21958,отпрясться,отпрядусь,отпрядётся,7д,7д,True
21959,разведривать,,,1,1,True
21960,отъюлить,отъюлю,отъюлит,4,4,True
21961,посиживать,посиживаю,посиживает,1,1,True
21962,отвернуть,отверну,отвернёт,3,3,True
21963,попомнить,попомню,попомнит,4,4,True
21964,сжечь,сожгу,сожжёт,8г,8г,True
21965,прогрессировать,прогрессирую,прогрессирует,2,2,True
21966,опресниться,опреснюсь,опреснится,4,4,True
21967,пошатываться,пошатываюсь,пошатывается,1,1,True
21968,законодательствовать,законодательствую,законодательствует,2,2,True
21969,започивать,започиваю,започивает,1,1,True
21970,пережечься,пережгусь,пережжётся,8г,8г,True
21971,открахмалить,открахмалю,открахмалит,4,4,True
21972,откроить,открою,откроит,4,4,True
21973,даивать,даиваю,даивает,1,1,True
21974,наспориться,наспорюсь,наспорится,4,4,True
21975,просидеть,просижу,просидит,5,5,True
21976,обезличиваться,обезличиваюсь,обезличивается,1,1,True
21977,военизироваться,военизироваюсь,военизировается,1,2,False
21978,опьянеть,опьянею,опьянеет,1,1,True
21979,доволакиваться,доволакиваюсь,доволакивается,1,1,True
21980,вычеркнуть,вычеркну,вычеркнет,3,3,True
21981,расписать,распишу,распишет,6,6,True
21982,протрясать,протрясаю,протрясает,1,1,True
21983,бледнить,бледню,бледнит,4,4,True
21984,зложелательствовать,зложелательствую,зложелательствует,2,2,True
21985,потушевать,потушую,потушует,2,2,True
21986,промутить,промучу,промутит,4,4,True
21987,дрогнуть,дрогну,дрогнет,3,3,True
21988,прогреться,прогреюсь,прогреется,12греть,12греть,True
21989,отличить,отличу,отличит,4,4,True
21990,нацеливаться,нацеливаюсь,нацеливается,1,1,True
21991,прихлопнуть,прихлопну,прихлопнет,3,3,True
21992,подурнеть,подурнею,подурнеет,1,1,True
21993,заминировать,заминирую,заминирует,2,2,True
21994,вонзаться,вонзаюсь,вонзается,1,1,True
21995,затопотать,затопочу,затопочет,6,6,True
21996,обладиться,облажусь,обладится,4,4,True
21997,стяжать,стяжаю,стяжает,1,1,True
21998,манежить,манежу,манежит,4,4,True
21999,здороваться,здороваюсь,здоровается,1,1,True
22000,затыкать,затыкаю,затыкает,1,6,False
22001,беседовать,беседую,беседует,2,2,True
22002,горевать,горюю,горюет,2,2,True
22003,отстричь,отстригу,отстрижёт,8г,8г,True
22004,расправлять,расправляю,расправляет,1,1,True
22005,притормаживать,притормаживаю,притормаживает,1,1,True
22006,клонить,клоню,клонит,4,4,True
22007,выкаливать,выкаливаю,выкаливает,1,1,True
22008,въезжать,въезжаю,въезжает,1,1,True
22009,гундосить,гундошу,гундосит,4,4,True
22010,отслаиваться,отслаиваюсь,отслаивается,1,1,True
22011,скооперировать,скооперирую,скооперирует,2,2,True
22012,нанизывать,нанизываю,нанизывает,1,1,True
22013,забрасывать,забрасываю,забрасывает,1,1,True
22014,взорваться,взорвусь,взорвётся,6,6,True
22015,воспрещаться,воспрещаюсь,воспрещается,1,1,True
22016,подкупить,подкуплю,подкупит,4,4,True
22017,загалдеть,загалжу,загалдит,5,5,True
22018,припахивать,припахиваю,припахивает,1,1,True
22019,отчеркнуть,отчеркну,отчеркнёт,3,3,True
22020,болеть,болею,болеет,1,5,False
22021,закапать,закапаю,закапает,1,1,True
22022,подтирать,подтираю,подтирает,1,1,True
22023,выгрызать,выгрызаю,выгрызает,1,1,True
22024,присвистывать,присвистываю,присвистывает,1,1,True
22025,преследовать,преследую,преследует,2,2,True
22026,затрясти,затрясу,затрясёт,7с,7с,True
22027,обкрутиться,обкручусь,обкрутится,4,4,True
22028,зажиливать,зажиливаю,зажиливает,1,1,True
22029,похварывать,похварываю,похварывает,1,1,True
22030,плодить,пложу,плодит,4,4,True
22031,подремать,подремлю,подремлет,6,6,True
22032,ослушаться,ослушаюсь,ослушается,1,1,True
22033,предощущать,предощущаю,предощущает,1,1,True
22034,проскучать,проскучаю,проскучает,1,1,True
22035,надпивать,надпиваю,надпивает,1,1,True
22036,отключиться,отключусь,отключится,4,4,True
22037,недоработать,недоработаю,недоработает,1,1,True
22038,пожуировать,пожуирую,пожуирует,2,2,True
22039,утачаться,утачаюсь,утачается,1,1,True
22040,подморозить,подморожу,подморозит,4,4,True
22041,искрестить,искрещу,искрестит,4,4,True
22042,самовольничать,самовольничаю,самовольничает,1,1,True
22043,стиснуть,стисну,стиснет,3,3,True
22044,разгрести,разгребу,разгребёт,7б,7б,True
22045,подыгрываться,подыгрываюсь,подыгрывается,1,1,True
22046,перепортиться,перепорчусь,перепортится,4,4,True
22047,пролетаризировать,пролетаризирую,пролетаризирует,2,2,True
22048,прохолодить,прохоложу,прохолодит,4,4,True
22049,вымыться,вымоюсь,вымоется,12ы,12ы,True
22050,пропустить,пропущу,пропустит,4,4,True
22051,подогреваться,подогреваюсь,подогревается,1,1,True
22052,наползать,наползаю,наползает,1,1,True
22053,зажарить,зажарю,зажарит,4,4,True
22054,изжелтить,изжелчу,изжелтит,4,4,True
22055,пхнуть,пхну,пхнёт,3,3,True
22056,приуменьшить,приуменьшу,приуменьшит,4,4,True
22057,отшугнуть,отшугну,отшугнёт,3,3,True
22058,отволочиться,отволочусь,отволочится,4,4,True
22059,обсахариваться,обсахариваюсь,обсахаривается,1,1,True
22060,подколупывать,подколупываю,подколупывает,1,1,True
22061,проорать,проору,проорёт,6,6,True
22062,обабить,обаблю,обабит,4,4,True
22063,облапить,облаплю,облапит,4,4,True
22064,покоптеть,покопчу,покоптит,5,5,True
22065,створиться,створюсь,створится,4,4,True
22066,волосатеть,волосатею,волосатеет,1,1,True
22067,хватиться,хвачусь,хватится,4,4,True
22068,вздуть,вздую,вздует,12у,12у,True
22069,властвовать,властвую,властвует,2,2,True
22070,ощерить,ощерю,ощерит,4,4,True
22071,впихнуться,впихнусь,впихнётся,3,3,True
22072,раскрошиться,раскрошусь,раскрошится,4,4,True
22073,соблаговолить,соблаговолю,соблаговолит,4,4,True
22074,переформировать,переформирую,переформирует,2,2,True
22075,обкапаться,обкапаюсь,обкапается,1,1,True
22076,мездрить,мездрю,мездрит,4,4,True
22077,вывяливаться,вывяливаюсь,вывяливается,1,1,True
22078,огибаться,огибаюсь,огибается,1,1,True
22079,удовольствовать,удовольствую,удовольствует,2,2,True
22080,пристрочить,пристрочу,пристрочит,4,4,True
22081,перевесить,перевешу,перевесит,4,4,True
22082,свернуть,сверну,свернёт,3,3,True
22083,притупить,притуплю,притупит,4,4,True
22084,дизассемблировать,дизассемблирую,дизассемблирует,2,2,True
22085,перегораживаться,перегораживаюсь,перегораживается,1,1,True
22086,конвейеризовать,конвейеризую,конвейеризует,2,2,True
22087,становиться,становлюсь,становится,4,4,True
22088,поводить,повожу,поводит,4,4,True
22089,проболтаться,проболтаюсь,проболтается,1,1,True
22090,отерпнуть,отерпну,отерпнет,3,3,True
22091,оевропеиваться,оевропеиваюсь,оевропеивается,1,1,True
22092,кряхтеть,кряхчу,кряхтит,5,5,True
22093,наварить,наварю,наварит,4,4,True
22094,разгадывать,разгадываю,разгадывает,1,1,True
22095,отплетать,отплетаю,отплетает,1,1,True
22096,заскакивать,заскакиваю,заскакивает,1,1,True
22097,остепеняться,остепеняюсь,остепеняется,1,1,True
22098,превалировать,превалирую,превалирует,2,2,True
22099,разворовать,разворую,разворует,2,2,True
22100,подтянуться,подтянусь,подтянется,3,3,True
22101,уподоблять,уподобляю,уподобляет,1,1,True
22102,закрадываться,закрадываюсь,закрадывается,1,1,True
22103,изумить,изумлю,изумит,4,4,True
22104,насыпать,насыплю,насыпет,6,6,True
22105,кардовать,кардую,кардует,2,2,True
22106,побаловать,побалую,побалует,2,2,True
22107,истапливаться,истапливаюсь,истапливается,1,1,True
22108,пробудиться,пробужусь,пробудится,4,4,True
22109,переадресовать,переадресую,переадресует,2,2,True
22110,избиться,изобьюсь,изобьётся,11,11,True
22111,привставать,привстаю,привстаёт,13,13,True
22112,посмуглеть,посмуглею,посмуглеет,1,1,True
22113,опахивать,опахиваю,опахивает,1,1,True
22114,расторговываться,расторговываюсь,расторговывается,1,1,True
22115,доскребать,доскребаю,доскребает,1,1,True
22116,нарожать,нарожаю,нарожает,1,1,True
22117,выпахать,выпашу,выпашет,6,6,True
22118,допаивать,допаиваю,допаивает,1,1,True
22119,допрыгаться,допрыгаюсь,допрыгается,1,1,True
22120,гуммировать,гуммирую,гуммирует,2,2,True
22121,долезать,долезаю,долезает,1,1,True
22122,скрутить,скручу,скрутит,4,4,True
22123,размести,размету,разметёт,7т,7т,True
22124,возместить,возмещу,возместит,4,4,True
22125,укутаться,укутаюсь,укутается,1,1,True
22126,осветлить,осветлю,осветлит,4,4,True
22127,поколеть,поколею,поколеет,1,1,True
22128,христианизировать,христианизирую,христианизирует,2,2,True
22129,упираться,упираюсь,упирается,1,1,True
22130,образумиться,образумлюсь,образумится,4,4,True
22131,отъедать,отъедаю,отъедает,1,1,True
22132,простукивать,простукиваю,простукивает,1,1,True
22133,концентрироваться,концентрируюсь,концентрируется,2,2,True
22134,отпирать,отпираю,отпирает,1,1,True
22135,взбрыкивать,взбрыкиваю,взбрыкивает,1,1,True
22136,проштамповать,проштампую,проштампует,2,2,True
22137,обштопывать,обштопываю,обштопывает,1,1,True
22138,иззубривать,иззубриваю,иззубривает,1,1,True
22139,промахать,промахаю,промахает,1,6,False
22140,выпихивать,выпихиваю,выпихивает,1,1,True
22141,насунуть,насуну,насунет,3,3,True
22142,запотеть,запотею,запотеет,1,1,True
22143,заноситься,заношусь,заносится,4,4,True
22144,обзвонить,обзвоню,обзвонит,4,4,True
22145,чхать,чхаю,чхает,1,1,True
22146,перекрывать,перекрываю,перекрывает,1,1,True
22147,расковырять,расковыряю,расковыряет,1,1,True
22148,нализываться,нализываюсь,нализывается,1,1,True
22149,смаиваться,смаиваюсь,смаивается,1,1,True
22150,ввинтить,ввинчу,ввинтит,4,4,True
22151,вскисать,вскисаю,вскисает,1,1,True
22152,спроваживать,спроваживаю,спроваживает,1,1,True
22153,закроить,закрою,закроит,4,4,True
22154,протерпеть,протерплю,протерпит,5,5,True
22155,сплываться,сплываюсь,сплывается,1,1,True
22156,выстрелить,выстрелю,выстрелит,4,4,True
22157,извиваться,извиваюсь,извивается,1,1,True
22158,расстреливать,расстреливаю,расстреливает,1,1,True
22159,охладевать,охладеваю,охладевает,1,1,True
22160,дегазировать,дегазирую,дегазирует,2,2,True
22161,надгрызть,надгрызу,надгрызёт,7з,7з,True
22162,доскакать,доскачу,доскачет,6,6,True
22163,положиться,положусь,положится,4,4,True
22164,пояснять,поясняю,поясняет,1,1,True
22165,обрыться,оброюсь,оброется,12ы,12ы,True
22166,акцептовать,акцептую,акцептует,2,2,True
22167,продуть,продую,продует,12у,12у,True
22168,сорваться,сорвусь,сорвётся,6,6,True
22169,разгневать,разгневаю,разгневает,1,1,True
22170,дорыться,дороюсь,дороется,12ы,12ы,True
22171,погнуть,погну,погнёт,3,3,True
22172,просемафорить,просемафорю,просемафорит,4,4,True
22173,взъяриться,взъярюсь,взъярится,4,4,True
22174,убиться,убьюсь,убьётся,11,11,True
22175,перехлопать,перехлопаю,перехлопает,1,1,True
22176,врезаться,врежусь,врежется,6,6,True
22177,затискать,затискаю,затискает,1,1,True
22178,забаловывать,забаловываю,забаловывает,1,1,True
22179,пощекотать,пощекочу,пощекочет,6,6,True
22180,отплясывать,отплясываю,отплясывает,1,1,True
22181,перебежать,перебегу,перебежит,5,5,True
22182,вылавировать,вылавирую,вылавирует,2,2,True
22183,нагрузить,нагружу,нагрузит,4,4,True
22184,угнездиться,угнезжусь,угнездится,4,4,True
22185,палить,палю,палит,4,4,True
22186,брякаться,брякаюсь,брякается,1,1,True
22187,прикармливать,прикармливаю,прикармливает,1,1,True
22188,поторговаться,поторгуюсь,поторгуется,2,2,True
22189,котироваться,котируюсь,котируется,2,2,True
22190,дочерпывать,дочерпываю,дочерпывает,1,1,True
22191,натекать,натекаю,натекает,1,1,True
22192,приобрести,приобрету,приобретёт,7т,7т,True
22193,заворчать,заворчу,заворчит,5,5,True
22194,дочерпывать,дочерпываю,дочерпывает,1,1,True
22195,отваливать,отваливаю,отваливает,1,1,True
22196,загримировываться,загримировываюсь,загримировывается,1,1,True
22197,расплачиваться,расплачиваюсь,расплачивается,1,1,True
22198,облегчиться,облегчусь,облегчится,4,4,True
22199,выписать,выпишу,выпишет,6,6,True
22200,махать,махаю,махает,1,6,False
22201,посуслить,посуслю,посуслит,4,4,True
22202,взмыливаться,взмыливаюсь,взмыливается,1,1,True
22203,напускаться,напускаюсь,напускается,1,1,True
22204,зубрить,зубрю,зубрит,4,4,True
22205,тыкать,тыкаю,тыкает,1,1,True
22206,дошалиться,дошалюсь,дошалится,4,4,True
22207,додерживать,додерживаю,додерживает,1,1,True
22208,лопотать,лопочу,лопочет,6,6,True
22209,запечатывать,запечатываю,запечатывает,1,1,True
22210,зацапывать,зацапываю,зацапывает,1,1,True
22211,подпарывать,подпарываю,подпарывает,1,1,True
22212,повинтить,повинчу,повинтит,4,4,True
22213,плюхать,плюхаю,плюхает,1,1,True
22214,заболтать,заболтаю,заболтает,1,1,True
22215,перепрашивать,перепрашиваю,перепрашивает,1,1,True
22216,посвящать,посвящаю,посвящает,1,1,True
22217,измалывать,измалываю,измалывает,1,1,True
22218,тренировать,тренирую,тренирует,2,2,True
22219,попрыскать,попрыскаю,попрыскает,1,1,True
22220,причесть,причту,причтёт,7т,7т,True
22221,рыдать,рыдаю,рыдает,1,1,True
22222,измельчить,измельчу,измельчит,4,4,True
22223,плодиться,пложусь,плодится,4,4,True
22224,очухаться,очухаюсь,очухается,1,1,True
22225,состояться,состоюсь,состоится,5,5,True
22226,изжарить,изжарю,изжарит,4,4,True
22227,украситься,украшусь,украсится,4,4,True
22228,высудить,высужу,высудит,4,4,True
22229,помошенничать,помошенничаю,помошенничает,1,1,True
22230,исколоть,исколю,исколет,10ол,10ол,True
22231,щебенить,щебеню,щебенит,4,4,True
22232,затвердеть,затвердею,затвердеет,1,1,True
22233,расконсервировать,расконсервирую,расконсервирует,2,2,True
22234,грохаться,грохаюсь,грохается,1,1,True
22235,накуривать,накуриваю,накуривает,1,1,True
22236,заблестеть,заблещу,заблестит,5,5,True
22237,самоуправничать,самоуправничаю,самоуправничает,1,1,True
22238,заточать,заточаю,заточает,1,1,True
22239,вываливать,вываливаю,вываливает,1,1,True
22240,прищуриться,прищурюсь,прищурится,4,4,True
22241,намусливать,намусливаю,намусливает,1,1,True
22242,страгивать,страгиваю,страгивает,1,1,True
22243,дешевить,дешевлю,дешевит,4,4,True
22244,опростить,опрощу,опростит,4,4,True
22245,совмещать,совмещаю,совмещает,1,1,True
22246,перетрудиться,перетружусь,перетрудится,4,4,True
22247,разжениться,разженюсь,разженится,4,4,True
22248,зазомбировать,зазомбирую,зазомбирует,2,2,True
22249,довыполнить,довыполню,довыполнит,4,4,True
22250,пристращивать,пристращиваю,пристращивает,1,1,True
22251,отфутболивать,отфутболиваю,отфутболивает,1,1,True
22252,раскреплять,раскрепляю,раскрепляет,1,1,True
22253,затупляться,затупляюсь,затупляется,1,1,True
22254,обхватывать,обхватываю,обхватывает,1,1,True
22255,отыскать,отыщу,отыщет,6,6,True
22256,расщепать,расщепаю,расщепает,1,6,False
22257,раскосмачиваться,раскосмачиваюсь,раскосмачивается,1,1,True
22258,обговорить,обговорю,обговорит,4,4,True
22259,оскрести,оскребу,оскребёт,7б,7б,True
22260,предносить,предношу,предносит,4,4,True
22261,напихать,напихаю,напихает,1,1,True
22262,намечать,намечаю,намечает,1,1,True
22263,обложить,обложу,обложит,4,4,True
22264,окружить,окружу,окружит,4,4,True
22265,врезываться,врезываюсь,врезывается,1,1,True
22266,срифмовать,срифмую,срифмует,2,2,True
22267,позолотить,позолочу,позолотит,4,4,True
22268,запьянствовать,запьянствую,запьянствует,2,2,True
22269,совмещаться,совмещаюсь,совмещается,1,1,True
22270,хороводить,хоровожу,хороводит,4,4,True
22271,сострогать,сострогаю,сострогает,1,1,True
22272,перепадать,перепадаю,перепадает,1,1,True
22273,распланировывать,распланировываю,распланировывает,1,1,True
22274,взлохмачиваться,взлохмачиваюсь,взлохмачивается,1,1,True
22275,клеиться,клеюсь,клеится,4,4,True
22276,уясняться,уясняюсь,уясняется,1,1,True
22277,проскакать,проскачу,проскачет,6,6,True
22278,вживлять,вживляю,вживляет,1,1,True
22279,тарахтеть,тарахчу,тарахтит,5,5,True
22280,выбутить,выбучу,выбутит,4,4,True
22281,источить,источу,источит,4,4,True
22282,запушить,запушу,запушит,4,4,True
22283,потупиться,потуплюсь,потупится,4,4,True
22284,порумяниться,порумянюсь,порумянится,4,4,True
22285,утишить,утишу,утишит,4,4,True
22286,погрузиться,погружусь,погрузится,4,4,True
22287,разрываться,разрываюсь,разрывается,1,1,True
22288,накопаться,накопаюсь,накопается,1,1,True
22289,мудровать,мудрую,мудрует,2,2,True
22290,прифабриваться,прифабриваюсь,прифабривается,1,1,True
22291,впитаться,впитаюсь,впитается,1,1,True
22292,подманить,подманю,подманит,4,4,True
22293,буравить,буравлю,буравит,4,4,True
22294,заправлять,заправляю,заправляет,1,1,True
22295,официальничать,официальничаю,официальничает,1,1,True
22296,свешивать,свешиваю,свешивает,1,1,True
22297,доползать,доползаю,доползает,1,1,True
22298,околдовать,околдую,околдует,2,2,True
22299,перетираться,перетираюсь,перетирается,1,1,True
22300,дозреть,дозрею,дозреет,1,1,True
22301,освещать,освещаю,освещает,1,1,True
22302,интерполировать,интерполирую,интерполирует,2,2,True
22303,уширяться,уширяюсь,уширяется,1,1,True
22304,водрузиться,водружусь,водрузится,4,4,True
22305,темнить,темню,темнит,4,4,True
22306,выцарапаться,выцарапаюсь,выцарапается,1,1,True
22307,дыхнуть,дыхну,дыхнёт,3,3,True
22308,разглаживать,разглаживаю,разглаживает,1,1,True
22309,рассидеться,рассижусь,рассидится,5,5,True
22310,размяться,разомнусь,разомнётся,14н,14н,True
22311,обнародовать,обнародую,обнародует,2,2,True
22312,раскорячивать,раскорячиваю,раскорячивает,1,1,True
22313,прислоняться,прислоняюсь,прислоняется,1,1,True
22314,присмирять,присмиряю,присмиряет,1,1,True
22315,пообождать,пообожду,пообождёт,6,6,True
22316,отщемить,отщемлю,отщемит,4,4,True
22317,вчерчивать,вчерчиваю,вчерчивает,1,1,True
22318,отпариться,отпарюсь,отпарится,4,4,True
22319,поновить,поновлю,поновит,4,4,True
22320,изветренничаться,изветренничаюсь,изветренничается,1,1,True
22321,орать,ору,орёт,6,6,True
22322,закашливаться,закашливаюсь,закашливается,1,1,True
22323,ублажить,ублажу,ублажит,4,4,True
22324,облизаться,оближусь,оближется,6,6,True
22325,пошипеть,пошиплю,пошипит,5,5,True
22326,обналичивать,обналичиваю,обналичивает,1,1,True
22327,испрямлять,испрямляю,испрямляет,1,1,True
22328,нахлопать,нахлопаю,нахлопает,1,1,True
22329,сверлить,сверлю,сверлит,4,4,True
22330,привести,приведу,приведёт,7д,7д,True
22331,закаяться,закаюсь,закается,6,6,True
22332,подвеситься,подвешусь,подвесится,4,4,True
22333,выдворять,выдворяю,выдворяет,1,1,True
22334,вкачать,вкачаю,вкачает,1,1,True
22335,кочевряжиться,кочевряжусь,кочевряжится,4,4,True
22336,панировать,панирую,панирует,2,2,True
22337,перекувырнуть,перекувырну,перекувырнёт,3,3,True
22338,отгораживать,отгораживаю,отгораживает,1,1,True
22339,придумывать,придумываю,придумывает,1,1,True
22340,завибрировать,завибрирую,завибрирует,2,2,True
22341,соответствовать,соответствую,соответствует,2,2,True
22342,запарить,запарю,запарит,4,4,True
22343,снимать,снимаю,снимает,1,1,True
22344,подсушиться,подсушусь,подсушится,4,4,True
22345,заскучать,заскучаю,заскучает,1,1,True
22346,аукать,аукаю,аукает,1,1,True
22347,сплюснуть,сплюсну,сплюснет,3,3,True
22348,спилить,спилю,спилит,4,4,True
22349,выпарить,выпарю,выпарит,4,4,True
22350,обламываться,обламываюсь,обламывается,1,1,True
